id,age,gender,profession,quadrant,type,content,category
1,40歲以上,M,發明家／咖啡機製造,Q1,被迫適應者 Forced Adapters,40歲跌到谷底，躲在工廠不敢回家。在逃避現實中意外啟發了機械天賦，自製咖啡機並在2023年法國發明展獲銀牌。沒有相關學歷，完全自學，有閱讀障礙且不會用電腦。,餐飲 / 生活
2,30-40歲,M,保鏢,Q3,熱情追尋者 Passionate Seekers,19歲以為會當歷史老師，38歲看到烏克蘭打仗跑去當志願役，現在在香港當保鏢。認為只要問心無愧地走下去就對了。,特殊職涯 / 非典型
3,40歲以上,M,麻將大師／麻將館經營者,Q4,意外發現者 Accidental Naturals,10歲過年被騙上桌打麻將，意外發現自己很會打。47歲拿了多個麻將大師冠軍，副業經營麻將館。,創業 / 商業
4,20-30歲,M,說書人／公司創辦人,Q3,熱情追尋者 Passionate Seekers,28歲跟朋友聊到想當說書人，朋友說「那你去公園說說看啊」。從此一路說到現在，成為全職說書人並創辦公司培養更多說書人。,創作者 / 藝術
5,30-40歲,F,縫紉師,Q1,被迫適應者 Forced Adapters,33歲人生跌到谷底時去學了縫紉，上課後才發現自己的天賦。學成後以縫紉作為人生志業。,手作 / 工藝
6,30-40歲,,紙藝創作者,Q3,熱情追尋者 Passionate Seekers,國中開始就對紙藝有興趣。36歲開始投入寫實動物紙藝，100%全心投入。有主業，紙藝想用來療癒更多人。,創作者 / 藝術
7,30-40歲,F,寵物美容師,Q3,熱情追尋者 Passionate Seekers,36歲辭掉安穩工作，投入寵物美容。快滿20年了還是非常喜歡。,設計 / 美學
8,30-40歲,,廢墟攝影師,Q3,熱情追尋者 Passionate Seekers,研究所畢業後在徬徨期接觸攝影，最初因為喜歡的人而開始，後來獨立愛上這件事。在人生中找到一件讓自己充滿熱情的事已經很美好。,創作者 / 藝術
9,20-30歲,,藝術創作者,Q3,熱情追尋者 Passionate Seekers,29歲工程師離職，38歲每天持續創作。找到能把溫暖帶給人的方法，持續反饋到自己身上。,創作者 / 藝術
10,30-40歲,,熱氣球飛行員,Q4,意外發現者 Accidental Naturals,30歲時以為世界末日，異想天開想搭熱氣球環遊世界，後來真的成為熱氣球飛行員。,運動 / 戶外
11,20-30歲,F,帆船運動員／倡議者,Q3,熱情追尋者 Passionate Seekers,2021年接觸帆船後一發不可收拾，成為台灣帆船賽大滿貫隊伍唯一女船員。雖曾在航行中落海，但更堅定追夢的心，目標挑戰2027年單人跨大西洋賽。,運動 / 戶外
12,20歲以下,F,創業者／多元職涯,Q1,被迫適應者 Forced Adapters,2歲被認為是音樂神童，國中手受傷失去天賦，父親三年不跟她說話。經歷編輯、婚顧、寫作等，最後在戶頭只剩四千多元時意外創業，十幾年過去才發現之前的經歷都不是浪費。,創業 / 商業
13,40歲以上,M,卡車司機／創業者,Q2,策略轉型者 Strategic Pivoters,45歲，認為大多數人不是先發現天賦才努力，而是為了活下去把一件無感的事做到極致，回頭看才發現那就是本事。天賦是活下來之後才有資格貼的標籤。,創業 / 商業
14,30-40歲,F,居家清潔師／收納整理師,Q4,意外發現者 Accidental Naturals,32歲因原發性手抖無法從事美業，抱著試試看的心情做清潔。被稱讚「很細心」，客戶口碑帶動下獨立接案，半年內收入成長三倍。後來增加收納整理和到府煮菜服務。,餐飲 / 生活
15,20歲以下,,全職改作文,Q4,意外發現者 Accidental Naturals,18歲去作文補習班打工，意外發現自己改作文很快、一天改十多小時也不會崩潰。全職改作文至今十多年，從沒遇過同行。,教育 / 顧問
16,20-30歲,M,滑雪學校／民宿經營者,Q3,熱情追尋者 Passionate Seekers,29歲在澳洲打工度假選了滑雪場，發現喜歡滑雪。十年後在日本開民宿和滑雪學校。,創業 / 商業
17,20-30歲,F,手作鉤織創作者,Q3,熱情追尋者 Passionate Seekers,22歲大學畢業後獨自經營手作鉤織，從設計、製作到拍攝一人完成。,創作者 / 藝術
18,30-40歲,F,影視化妝師,Q4,意外發現者 Accidental Naturals,大學讀企管，畢業後才發現很享受幫人化妝。15年後成為《華燈初上》化妝師，還被楊謹華指定為私人化妝師。,設計 / 美學
19,30-40歲,,農夫／農業創業者,Q4,意外發現者 Accidental Naturals,35歲被朋友說服返鄉務農，一開始網路完全沒訂單。36歲開始擺攤後發現客人會給滿滿的情緒價值，開始喜歡農業，即將邁入第10年。,創業 / 商業
20,30-40歲,F,作家（翻譯成7國語言）,Q4,意外發現者 Accidental Naturals,36歲在辦公室快窒息，覺得自己沒任何專長。偶遇出版社編輯，出版了一本職場內向者的書，被翻譯成七國語言、賣了二十幾萬本。但她還是不確定內向算不算天賦。,創作者 / 藝術
21,30-40歲,F,手作饅頭師,Q4,意外發現者 Accidental Naturals,2019年生孩子後因疫情無法繼續代購工作。為了給孩子健康食物，意外開啟手作饅頭之路，現在變成職業。,手作 / 工藝
22,20-30歲,,投資者,Q3,熱情追尋者 Passionate Seekers,23歲發現只要好好投資就不太會餓死，從此做事不太在意勞務報酬。認為「我現在做的事對自己有什麼意義」這個問題每個人都會有。,金融 / 投資
23,30-40歲,,料理愛好者（非職業）,Q3,熱情追尋者 Passionate Seekers,從小因母親多病進出廚房，30幾歲後才感受到自己有多熱愛料理和烘焙。為家人煮飯是生活中最滿足的事，但純屬興趣。,餐飲 / 生活
24,30-40歲,,羊毛氈藝術家（業餘）,Q3,熱情追尋者 Passionate Seekers,35歲左右接觸羊毛氈，目前在上培訓課，希望以後能展出作品。有正職工作撐著，能當業餘藝術家就好。,創作者 / 藝術
